gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000291215,-0.7245976013960416,-0.7226641231626623,-0.9098827176927919
LINC01409,0.9282521975520517,0.3958346192199755,-0.07129591577164977
ENSG00000290784,-0.7958854681760384,-0.8152855471904878,-0.6061115494299614
LINC00115,-0.4374024686560425,-0.5295968435078713,-0.4794414575952324
LINC01128,-0.3542033112212479,-0.3716298921466574,-0.44867152777377217
SAMD11,0.40048532649310076,0.43107930458504023,0.22591880075090734
NOC2L,-0.6395109300932162,-0.4673007815905131,-0.5795357241781042
HES4,0.5744380265316487,0.5486541286517657,0.39544812147957137
ISG15,-0.15195691403201292,-0.17959760400776761,-0.26052259674333206
AGRN,-0.6680297684552805,-0.39521106242450804,-0.6773669134858409
C1orf159,-0.05761992022558712,0.16258475745719997,0.1634376279150907
SDF4,-0.6614582580887749,-0.6666344489402753,-0.6822422988191086
B3GALT6,-0.6357106038967045,-0.6177567127353498,-0.7240067704099431
UBE2J2,-0.999379841044032,-0.8495779480501149,-0.6079136124166773
ACAP3,-0.7842517881358759,-0.8073012137420932,-0.3487864729221073
PUSL1,-0.5502488614892123,-0.4653211746323507,-0.3676536878380325
INTS11,-0.5373534631533197,-0.8061673563239253,-0.7476705522547711
CPTP,-0.6656767342222522,-0.8467616973988862,-0.8737841028120172
DVL1,-0.7138206051672533,-0.9533395936243104,-0.23008017907479322
MXRA8,0.5981366875984762,0.2860410576639935,0.2018146418090545
AURKAIP1,-0.6496727616430995,-0.6812219299485635,-0.7174159239258167
CCNL2,-0.3797111582302719,-0.4234042223202472,-0.8049781175111725
MRPL20-AS1,-0.6959318018509002,-0.8999690509409072,-0.5900974054161061
MRPL20,-0.9161824544106558,-0.68322314591369,-0.6350222146049483
VWA1,-0.6144244659626139,-0.7618614881884831,-0.7964906726084884
ATAD3B,-0.6259732607074896,-0.8381451619967956,-0.41318936270171847
ATAD3A,-0.5546094637100899,-0.6319849485752549,-0.640801736160533
TMEM240,-0.5550882772063801,-0.9711825641532386,-0.6457907410140217
SSU72,-0.8752822966460378,-0.8130149483254563,-0.7791821767261844
FNDC10,-0.37064112576424446,-0.38417145749358284,-0.4161647476953156
ENSG00000272106,-0.5261547927082226,-0.7067605054764101,-0.5815057240608184
MIB2,-0.517503888988397,-0.496955488083639,-0.7978147929772419
MMP23B,0.14922772382973545,-0.050698588350638125,0.08784492149170828
CDK11B,-0.7800902252407269,-0.6265747844153536,-0.5488150915352392
SLC35E2B,-0.8172947882071178,-0.4262323357261372,-0.5004391821387912
CDK11A,-0.5516486289829352,-0.6074738438292009,-0.6659206872828918
ENSG00000290854,-0.5710832709306892,-0.478461562359012,-0.4705450668358395
NADK,-0.8122678699834474,-0.644013700390758,-0.6410114184847765
GNB1,-0.3174217487681155,-0.46782293371695255,-0.5093989479994221
PRKCZ,-0.4217260845484212,-0.31822822710328325,-0.4593134079347081
